"ModernName","Date"
"eastern towhee",1927-04-17
"field sparrow",1927-04-17
"golden-crowned kinglet",1927-04-17
"grasshopper sparrow",1927-04-17
"purple finch",1927-04-17
"purple martin",1927-04-17
"red-breasted merganser",1927-04-17
"red-winged blackbird",1927-04-17
"ruby-crowned kinglet",1927-04-17
"rusty blackbird",1927-04-17
"savanna sparrow",1927-04-17
"song sparrow",1927-04-17
"swamp sparrow",1927-04-17
"white-throated sparrow",1927-04-17
"yellow-rumped warbler",1927-04-17
"american robin",1927-04-24
"brown thrasher",1927-04-24
"common grackle",1927-04-24
"common loon",1927-04-24
"common tern",1927-04-24
"eastern towhee",1927-04-24
"field sparrow",1927-04-24
"herring gull",1927-04-24
"house wren",1927-04-24
"lesser scaup",1927-04-24
"long-tailed duck",1927-04-24
"purple martin",1927-04-24
"red-breasted merganser",1927-04-24
"red-winged blackbird",1927-04-24
"ruby-crowned kinglet",1927-04-24
"song sparrow",1927-04-24
"swamp sparrow",1927-04-24
"white-throated sparrow",1927-04-24
"yellow-rumped warbler",1927-04-24
"common loon",1927-04-28
"common loon",1927-04-29
"common loon",1927-04-30
"american robin",1927-05-01
"blue jay",1927-05-01
"bonaparte's gull",1927-05-01
"common grackle",1927-05-01
"common loon",1927-05-01
"dark-eyed junco",1927-05-01
"eastern meadowlark",1927-05-01
"eastern towhee",1927-05-01
"field sparrow",1927-05-01
"herring gull",1927-05-01
"lesser scaup",1927-05-01
"lincoln's sparrow",1927-05-01
"palm warbler",1927-05-01
"purple martin",1927-05-01
"red-breasted merganser",1927-05-01
"red-breasted nuthatch",1927-05-01
"red-winged blackbird",1927-05-01
"ruby-crowned kinglet",1927-05-01
"sora",1927-05-01
"swamp sparrow",1927-05-01
"white-throated sparrow",1927-05-01
"yellow-rumped warbler",1927-05-01
"american crow",1927-05-07
"american robin",1927-05-07
"black-throated green warbler",1927-05-07
"black and white warbler",1927-05-07
"blue jay",1927-05-07
"brown thrasher",1927-05-07
"common grackle",1927-05-07
"eastern meadowlark",1927-05-07
"northern cardinal",1927-05-07
"orange-crowned warbler",1927-05-07
"palm warbler",1927-05-07
"song sparrow",1927-05-07
"swainson's thrush",1927-05-07
"tennessee warbler",1927-05-07
"white-throated sparrow",1927-05-07
"wood thrush",1927-05-07
"yellow-rumped warbler",1927-05-07
"american robin",1927-05-08
"black and white warbler",1927-05-08
"blue jay",1927-05-08
"bobolink",1927-05-08
"bonaparte's gull",1927-05-08
"brown-headed cowbird",1927-05-08
"brown thrasher",1927-05-08
"chipping sparrow",1927-05-08
"common grackle",1927-05-08
"common loon",1927-05-08
"common tern",1927-05-08
"eastern bluebird",1927-05-08
"eastern towhee",1927-05-08
"field sparrow",1927-05-08
"green heron",1927-05-08
"herring gull",1927-05-08
"house wren",1927-05-08
"least flycatcher",1927-05-08
"lincoln's sparrow",1927-05-08
"palm warbler",1927-05-08
"purple martin",1927-05-08
"red-breasted merganser",1927-05-08
"red-winged blackbird",1927-05-08
"rose-breasted grosbeak",1927-05-08
"sora",1927-05-08
"swamp sparrow",1927-05-08
"white-crowned sparrow",1927-05-08
"white-throated sparrow",1927-05-08
"yellow-rumped warbler",1927-05-08
"american goldfinch",1927-05-15
"american robin",1927-05-15
"barn swallow",1927-05-15
"black-poll warbler",1927-05-15
"black-throated blue warbler",1927-05-15
"black-throated green warbler",1927-05-15
"black and white warbler",1927-05-15
"blackburnian warbler",1927-05-15
"blue-headed vireo",1927-05-15
"blue jay",1927-05-15
"bonaparte's gull",1927-05-15
"brown thrasher",1927-05-15
"cape may warbler",1927-05-15
"chestnut-sided warbler",1927-05-15
"chipping sparrow",1927-05-15
"common grackle",1927-05-15
"common tern",1927-05-15
"common yellow-throat",1927-05-15
"gray-cheeked thrush",1927-05-15
"gray catbird",1927-05-15
"indigo bunting",1927-05-15
"least flycatcher",1927-05-15
"magnolia warbler",1927-05-15
"nashville warbler",1927-05-15
"northern cardinal",1927-05-15
"northern waterthrush",1927-05-15
"palm warbler",1927-05-15
"purple martin",1927-05-15
"red-winged blackbird",1927-05-15
"scarlet tanager",1927-05-15
"swainson's thrush",1927-05-15
"veery",1927-05-15
"warbling vireo",1927-05-15
"white-crowned sparrow",1927-05-15
"white-throated sparrow",1927-05-15
"wilson's warbler",1927-05-15
"yellow-rumped warbler",1927-05-15
"yellow warbler",1927-05-15
"nashville warbler",1927-05-18
"swainson's thrush",1927-05-18
"white-throated sparrow",1927-05-18
"white-throated sparrow",1927-05-19
"american crow",1927-05-21
"american goldfinch",1927-05-21
"american redstart",1927-05-21
"black-throated green warbler",1927-05-21
"black and white warbler",1927-05-21
"blue-headed vireo",1927-05-21
"blue jay",1927-05-21
"chestnut-sided warbler",1927-05-21
"common grackle",1927-05-21
"common yellow-throat",1927-05-21
"eastern bluebird",1927-05-21
"house wren",1927-05-21
"indigo bunting",1927-05-21
"least flycatcher",1927-05-21
"magnolia warbler",1927-05-21
"nashville warbler",1927-05-21
"northern cardinal",1927-05-21
"northern waterthrush",1927-05-21
"olive-sided flycatcher",1927-05-21
"oven-bird",1927-05-21
"palm warbler",1927-05-21
"rose-breasted grosbeak",1927-05-21
"scarlet tanager",1927-05-21
"song sparrow",1927-05-21
"veery",1927-05-21
"wilson's warbler",1927-05-21
"wood thrush",1927-05-21
"yellow-bellied flycatcher",1927-05-21
"american redstart",1927-05-22
"american robin",1927-05-22
"bay-breasted warbler",1927-05-22
"black-poll warbler",1927-05-22
"black-throated green warbler",1927-05-22
"blackburnian warbler",1927-05-22
"blue jay",1927-05-22
"brown thrasher",1927-05-22
"canadian warbler",1927-05-22
"chestnut-sided warbler",1927-05-22
"common grackle",1927-05-22
"common tern",1927-05-22
"common yellow-throat",1927-05-22
"eastern bluebird",1927-05-22
"eastern wood peewee",1927-05-22
"gray-cheeked thrush",1927-05-22
"gray catbird",1927-05-22
"green heron",1927-05-22
"indigo bunting",1927-05-22
"least flycatcher",1927-05-22
"lincoln's sparrow",1927-05-22
"magnolia warbler",1927-05-22
"mourning warbler",1927-05-22
"northern waterthrush",1927-05-22
"olive-sided flycatcher",1927-05-22
"purple martin",1927-05-22
"red-eyed vireo",1927-05-22
"swainson's thrush",1927-05-22
"white-throated sparrow",1927-05-22
"wilson's warbler",1927-05-22
"yellow-bellied flycatcher",1927-05-22
"yellow warbler",1927-05-22
"american redstart",1927-05-29
"american robin",1927-05-29
"bay-breasted warbler",1927-05-29
"black-poll warbler",1927-05-29
"blue jay",1927-05-29
"bonaparte's gull",1927-05-29
"brown thrasher",1927-05-29
"common grackle",1927-05-29
"common tern",1927-05-29
"common yellow-throat",1927-05-29
"eastern bluebird",1927-05-29
"eastern wood peewee",1927-05-29
"gray-cheeked thrush",1927-05-29
"gray catbird",1927-05-29
"herring gull",1927-05-29
"indigo bunting",1927-05-29
"least flycatcher",1927-05-29
"magnolia warbler",1927-05-29
"mourning warbler",1927-05-29
"philadelphia vireo",1927-05-29
"purple martin",1927-05-29
"red-eyed vireo",1927-05-29
"rose-breasted grosbeak",1927-05-29
"swainson's thrush",1927-05-29
"warbling vireo",1927-05-29
"wilson's warbler",1927-05-29
"yellow-bellied flycatcher",1927-05-29
"yellow-rumped warbler",1927-05-29
"yellow warbler",1927-05-29
"common golden-eye",1928-03-04
"common merganser",1928-03-04
"herring gull",1928-03-04
"long-tailed duck",1928-03-04
"common golden-eye",1928-03-11
"common merganser",1928-03-11
"crow",1928-03-11
"herring gull",1928-03-11
"lesser scaup",1928-03-11
"long-tailed duck",1928-03-11
"song sparrow",1928-03-11
"common golden-eye",1928-03-18
"common merganser",1928-03-18
"crow",1928-03-18
"herring gull",1928-03-18
"long-tailed duck",1928-03-18
"red-breasted merganser",1928-03-18
"red-winged blackbird",1928-03-18
"american robin",1928-03-21
"american robin",1928-03-25
"american tree sparrow",1928-03-25
"brown-headed cowbird",1928-03-25
"brown creeper",1928-03-25
"common golden-eye",1928-03-25
"common merganser",1928-03-25
"dark-eyed junco",1928-03-25
"fox sparrow",1928-03-25
"golden-crowned kinglet",1928-03-25
"herring gull",1928-03-25
"long-tailed duck",1928-03-25
"northern cardinal",1928-03-25
"red-winged blackbird",1928-03-25
"song sparrow",1928-03-25
"swamp sparrow",1928-03-25
"american coot",1928-04-01
"american robin",1928-04-01
"belted kingfisher",1928-04-01
"brown-headed cowbird",1928-04-01
"common golden-eye",1928-04-01
"common merganser",1928-04-01
"dark-eyed junco",1928-04-01
"downy woodpecker",1928-04-01
"eastern meadowlark",1928-04-01
"fox sparrow",1928-04-01
"grackle",1928-04-01
"herring gull",1928-04-01
"killdeer",1928-04-01
"northern flicker",1928-04-01
"pie-billed grebe",1928-04-01
"red-breasted merganser",1928-04-01
"red-winged blackbird",1928-04-01
"redhead",1928-04-01
"song sparrow",1928-04-01
"red-winged blackbird",1928-04-02
" northern flicker",1928-04-08
"american robin",1928-04-08
"belted kingfisher",1928-04-08
"bonaparte's gull",1928-04-08
"brown-headed cowbird",1928-04-08
"brown creeper",1928-04-08
"canvasback",1928-04-08
"common golden-eye",1928-04-08
"common merganser",1928-04-08
"dark-eyed junco",1928-04-08
"eastern bluebird",1928-04-08
"eastern meadowlark",1928-04-08
"eastern phoebe",1928-04-08
"fox sparrow",1928-04-08
"golden-crowned kinglet",1928-04-08
"grackle",1928-04-08
"hermit thrush",1928-04-08
"herring gull",1928-04-08
"killdeer",1928-04-08
"lesser scaup",1928-04-08
"long-tailed duck",1928-04-08
"northern cardinal",1928-04-08
"red-breasted merganser",1928-04-08
"redhead",1928-04-08
"ring-billed gull",1928-04-08
"ruddy duck",1928-04-08
"song sparrow",1928-04-08
"swamp sparrow",1928-04-08
"yellow-bellied sapsucker",1928-04-08
"american robin",1928-04-15
"belted kingfisher",1928-04-15
"bonaparte's gull",1928-04-15
"canvasback",1928-04-15
"dark-eyed junco",1928-04-15
"eastern phoebe",1928-04-15
"fox sparrow",1928-04-15
"golden-crowned kinglet",1928-04-15
"grackle",1928-04-15
"hermit thrush",1928-04-15
"herring gull",1928-04-15
"horned grebe",1928-04-15
"killdeer",1928-04-15
"lesser scaup",1928-04-15
"long-tailed duck",1928-04-15
"northern flicker",1928-04-15
"red-breasted merganser",1928-04-15
"song sparrow",1928-04-15
"white-breasted nuthatch",1928-04-15
"yellow-bellied sapsucker",1928-04-15
"american robin",1928-04-22
"bonaparte's gull",1928-04-22
"brown-headed cowbird",1928-04-22
"brown creeper",1928-04-22
"canvasback",1928-04-22
"common golden-eye",1928-04-22
"dark-eyed junco",1928-04-22
"downy woodpecker",1928-04-22
"eastern bluebird",1928-04-22
"eastern meadowlark",1928-04-22
"fox sparrow",1928-04-22
"glaucous gull",1928-04-22
"grackle",1928-04-22
"herring gull",1928-04-22
"horned grebe",1928-04-22
"northern flicker",1928-04-22
"pie-billed grebe",1928-04-22
"red-breasted merganser",1928-04-22
"ruby-crowned kinglet",1928-04-22
"song sparrow",1928-04-22
"swamp sparrow",1928-04-22
"white-throated sparrow",1928-04-22
"yellow-bellied sapsucker",1928-04-22
"yellow-rumped warbler",1928-04-22
"american robin",1928-04-29
"american tree sparrow",1928-04-29
"barn swallow",1928-04-29
"blue-gray gnatcatcher",1928-04-29
"bobolink",1928-04-29
"bonaparte's gull",1928-04-29
"brown creeper",1928-04-29
"chipping sparrow",1928-04-29
"common tern",1928-04-29
"dark-eyed junco",1928-04-29
"eastern kingbird",1928-04-29
"eastern meadowlark",1928-04-29
"eastern phoebe",1928-04-29
"field sparrow",1928-04-29
"fox sparrow",1928-04-29
"golden-crowned kinglet",1928-04-29
"grackle",1928-04-29
"hermit thrush",1928-04-29
"herring gull",1928-04-29
"lesser scaup",1928-04-29
"long-tailed duck",1928-04-29
"northern flicker",1928-04-29
"purple martin",1928-04-29
"puruple finch",1928-04-29
"red-breasted merganser",1928-04-29
"red-winged blackbird",1928-04-29
"ruby-crowned kinglet",1928-04-29
"savanna sparrow",1928-04-29
"song sparrow",1928-04-29
"swamp sparrow",1928-04-29
"white-throated sparrow",1928-04-29
"yellow-rumped warbler",1928-04-29
"american redstart",1928-05-01
"american robin",1928-05-01
"belted kingfisher",1928-05-01
"blue-gray gnatcatcher",1928-05-01
"bonaparte's gull",1928-05-01
"brown-headed cowbird",1928-05-01
"dark-eyed junco",1928-05-01
"eastern meadowlark",1928-05-01
"eastern phoebe",1928-05-01
"field sparrow",1928-05-01
"grackle",1928-05-01
"hermit thrush",1928-05-01
"herring gull",1928-05-01
"lincoln sparrow",1928-05-01
"northern cardinal",1928-05-01
"northern flicker",1928-05-01
"orange-crowned warbler",1928-05-01
"pie-billed grebe",1928-05-01
"purple martin",1928-05-01
"red-winged blackbird",1928-05-01
"ruby-crowned kinglet",1928-05-01
"swamp sparrow",1928-05-01
"white-throated sparrow",1928-05-01
"yellow-rumped warbler",1928-05-01
"american robin",1928-05-02
"american tree sparrow",1928-05-02
"bonaparte's gull",1928-05-02
"brown-headed cowbird",1928-05-02
"brown creeper",1928-05-02
"brown thrasher",1928-05-02
"dark-eyed junco",1928-05-02
"eastern phoebe",1928-05-02
"eastern towhee",1928-05-02
"field sparrow",1928-05-02
"grackle",1928-05-02
"henslow sparrow",1928-05-02
"hermit thrush",1928-05-02
"killdeer",1928-05-02
"lincoln sparrow",1928-05-02
"marsh wren",1928-05-02
"northern flicker",1928-05-02
"orange-crowned warbler",1928-05-02
"palm warbler",1928-05-02
"pie-billed grebe",1928-05-02
"purple martin",1928-05-02
"puruple finch",1928-05-02
"red-winged blackbird",1928-05-02
"ruby-crowned kinglet",1928-05-02
"savanna sparrow",1928-05-02
"song sparrow",1928-05-02
"swamp sparrow",1928-05-02
"white-throated sparrow",1928-05-02
"yellow-bellied sapsucker",1928-05-02
"yellow-rumped warbler",1928-05-02
"american redstart",1928-05-03
"american robin",1928-05-03
"baltimore oriole",1928-05-03
"black and white warbler",1928-05-03
"bonaparte's gull",1928-05-03
"brown-headed cowbird",1928-05-03
"brown creeper",1928-05-03
"brown thrasher",1928-05-03
"chipping sparrow",1928-05-03
"dark-eyed junco",1928-05-03
"eastern bluebird",1928-05-03
"eastern phoebe",1928-05-03
"eastern towhee",1928-05-03
"field sparrow",1928-05-03
"grackle",1928-05-03
"gray-cheeked thrush",1928-05-03
"great-crested flycatcher",1928-05-03
"hermit thrush",1928-05-03
"herring gull",1928-05-03
"house wren",1928-05-03
"indigo bunting",1928-05-03
"least flycatcher",1928-05-03
"lincoln sparrow",1928-05-03
"magnolia warbler",1928-05-03
"northern cardinal",1928-05-03
"northern flicker",1928-05-03
"northern flicker",1928-05-03
"northern waterthrush",1928-05-03
"orange-crowned warbler",1928-05-03
"oven-bird",1928-05-03
"palm warbler",1928-05-03
"pine warbler",1928-05-03
"purple martin",1928-05-03
"puruple finch",1928-05-03
"red-headed woodpecker",1928-05-03
"rose-breasted grosbeak",1928-05-03
"ruby-crowned kinglet",1928-05-03
"savanna sparrow",1928-05-03
"swainson's thrush",1928-05-03
"swamp sparrow",1928-05-03
"veery",1928-05-03
"white-crowned sparrow",1928-05-03
"white-throated sparrow",1928-05-03
"yellow-rumped warbler",1928-05-03
"yellow warbler",1928-05-03
"american robin",1928-05-04
"baltimore oriole",1928-05-04
"barn swallow",1928-05-04
"blue-gray gnatcatcher",1928-05-04
"blue jay",1928-05-04
"bonaparte's gull",1928-05-04
"brown creeper",1928-05-04
"brown thrasher",1928-05-04
"common yellow-throat",1928-05-04
"dark-eyed junco",1928-05-04
"eastern towhee",1928-05-04
"field sparrow",1928-05-04
"grackle",1928-05-04
"gray-cheeked thrush",1928-05-04
"gray catbird",1928-05-04
"green heron",1928-05-04
"hermit thrush",1928-05-04
"herring gull",1928-05-04
"least flycatcher",1928-05-04
"lincoln sparrow",1928-05-04
"northern flicker",1928-05-04
"northern waterthrush",1928-05-04
"oven-bird",1928-05-04
"palm warbler",1928-05-04
"purple martin",1928-05-04
"red-headed woodpecker",1928-05-04
"solitary sandpiper",1928-05-04
"swainson's thrush",1928-05-04
"swamp sparrow",1928-05-04
"veery",1928-05-04
"white-crowned sparrow",1928-05-04
"white-throated sparrow",1928-05-04
"wood thrush",1928-05-04
"yellow-breasted chat",1928-05-04
"yellow-rumped warbler",1928-05-04
"yellow warbler",1928-05-04
"american redstart",1928-05-05
"american robin",1928-05-05
"black and white warbler",1928-05-05
"blue-gray gnatcatcher",1928-05-05
"blue jay",1928-05-05
"bonaparte's gull",1928-05-05
"brown thrasher",1928-05-05
"common golden-eye",1928-05-05
"common tern",1928-05-05
"dark-eyed junco",1928-05-05
"eastern towhee",1928-05-05
"grackle",1928-05-05
"gray-cheeked thrush",1928-05-05
"lesser scaup",1928-05-05
"lincoln sparrow",1928-05-05
"northern flicker",1928-05-05
"northern waterthrush",1928-05-05
"orange-crowned warbler",1928-05-05
"palm warbler",1928-05-05
"pine warbler",1928-05-05
"prothonotary warbler",1928-05-05
"purple martin",1928-05-05
"red-headed woodpecker",1928-05-05
"song sparrow",1928-05-05
"swainson's thrush",1928-05-05
"swamp sparrow",1928-05-05
"veery",1928-05-05
"white-crowned sparrow",1928-05-05
"white-throated sparrow",1928-05-05
"wilson's thrush",1928-05-05
"yellow-rumped warbler",1928-05-05
"american robin",1928-05-06
"belted kingfisher",1928-05-06
"blue jay",1928-05-06
"bonaparte's gull",1928-05-06
"brown creeper",1928-05-06
"brown thrasher",1928-05-06
"common tern",1928-05-06
"dark-eyed junco",1928-05-06
"eastern phoebe",1928-05-06
"eastern towhee",1928-05-06
"field sparrow",1928-05-06
"grackle",1928-05-06
"gray-cheeked thrush",1928-05-06
"gray catbird",1928-05-06
"herring gull",1928-05-06
"lincoln sparrow",1928-05-06
"nashville warbler",1928-05-06
"northern flicker",1928-05-06
"palm warbler",1928-05-06
"pine warbler",1928-05-06
"purple martin",1928-05-06
"red-headed woodpecker",1928-05-06
"red-winged blackbird",1928-05-06
"spotted sandpiper",1928-05-06
"swainson's thrush",1928-05-06
"white-crowned sparrow",1928-05-06
"white-throated sparrow",1928-05-06
"yellow-rumped warbler",1928-05-06
"american robin",1928-05-07
"blue jay",1928-05-07
"blue jay",1928-05-07
"bonaparte's gull",1928-05-07
"brown-headed cowbird",1928-05-07
"brown creeper",1928-05-07
"brown thrasher",1928-05-07
"chipping sparrow",1928-05-07
"common tern",1928-05-07
"dark-eyed junco",1928-05-07
"eastern meadowlark",1928-05-07
"eastern towhee",1928-05-07
"field sparrow",1928-05-07
"grackle",1928-05-07
"gray-cheeked thrush",1928-05-07
"hermit thrush",1928-05-07
"herring gull",1928-05-07
"lincoln sparrow",1928-05-07
"nashville warbler",1928-05-07
"northern flicker",1928-05-07
"northern flicker",1928-05-07
"oven-bird",1928-05-07
"palm warbler",1928-05-07
"purple martin",1928-05-07
"red-headed woodpecker",1928-05-07
"red-headed woodpecker",1928-05-07
"red-winged blackbird",1928-05-07
"spotted sandpiper",1928-05-07
"swainson's thrush",1928-05-07
"white-crowned sparrow",1928-05-07
"white-throated sparrow",1928-05-07
"wilson's thrush",1928-05-07
"yellow-rumped warbler",1928-05-07
"american robin",1928-05-08
"blue jay",1928-05-08
"blue jay",1928-05-08
"bonaparte's gull",1928-05-08
"brown-headed cowbird",1928-05-08
"brown thrasher",1928-05-08
"eastern towhee",1928-05-08
"field sparrow",1928-05-08
"grackle",1928-05-08
"gray-cheeked thrush",1928-05-08
"green heron",1928-05-08
"herring gull",1928-05-08
"killdeer",1928-05-08
"lincoln sparrow",1928-05-08
"mourning dove",1928-05-08
"nashville warbler",1928-05-08
"northern cardinal",1928-05-08
"northern flicker",1928-05-08
"northern flicker",1928-05-08
"oven-bird",1928-05-08
"palm warbler",1928-05-08
"purple martin",1928-05-08
"red-headed woodpecker",1928-05-08
"red-headed woodpecker",1928-05-08
"red-winged blackbird",1928-05-08
"spotted sandpiper",1928-05-08
"swainson's thrush",1928-05-08
"white-crowned sparrow",1928-05-08
"white-throated sparrow",1928-05-08
"yellow warbler",1928-05-08
"american redstart",1928-05-09
"american robin",1928-05-09
"baltimore oriole",1928-05-09
"blue jay",1928-05-09
"bonaparte's gull",1928-05-09
"brown-headed cowbird",1928-05-09
"brown thrasher",1928-05-09
"common tern",1928-05-09
"downy woodpecker",1928-05-09
"eastern towhee",1928-05-09
"grackle",1928-05-09
"gray-cheeked thrush",1928-05-09
"gray catbird",1928-05-09
"hermit thrush",1928-05-09
"killdeer",1928-05-09
"least flycatcher",1928-05-09
"lincoln sparrow",1928-05-09
"long-tailed duck",1928-05-09
"magnolia warbler",1928-05-09
"nashville warbler",1928-05-09
"northern flicker",1928-05-09
"northern waterthrush",1928-05-09
"orange-crowned warbler",1928-05-09
"oven-bird",1928-05-09
"palm warbler",1928-05-09
"purple martin",1928-05-09
"red-headed woodpecker",1928-05-09
"red-winged blackbird",1928-05-09
"savanna sparrow",1928-05-09
"spotted sandpiper",1928-05-09
"swainson's thrush",1928-05-09
"swamp sparrow",1928-05-09
"veery",1928-05-09
"white-crowned sparrow",1928-05-09
"white-throated sparrow",1928-05-09
"yellow warbler",1928-05-09
"american redstart",1928-05-10
"american robin",1928-05-10
"baltimore oriole",1928-05-10
"black-throated green warbler",1928-05-10
"black and white warbler",1928-05-10
"blackburnian warbler",1928-05-10
"blue jay",1928-05-10
"bonaparte's gull",1928-05-10
"brown-headed cowbird",1928-05-10
"brown thrasher",1928-05-10
"chestnut-sided warbler",1928-05-10
"clay-colored sparrow",1928-05-10
"common tern",1928-05-10
"common yellow-throat",1928-05-10
"eastern towhee",1928-05-10
"field sparrow",1928-05-10
"grackle",1928-05-10
"gray-cheeked thrush",1928-05-10
"gray catbird",1928-05-10
"herring gull",1928-05-10
"house wren",1928-05-10
"least flycatcher",1928-05-10
"lincoln sparrow",1928-05-10
"long-tailed duck",1928-05-10
"magnolia warbler",1928-05-10
"nashville warbler",1928-05-10
"northern flicker",1928-05-10
"northern waterthrush",1928-05-10
"oven-bird",1928-05-10
"palm warbler",1928-05-10
"purple martin",1928-05-10
"red-headed woodpecker",1928-05-10
"rose-breasted grosbeak",1928-05-10
"swainson's thrush",1928-05-10
"swamp sparrow",1928-05-10
"veery",1928-05-10
"white-crowned sparrow",1928-05-10
"white-throated sparrow",1928-05-10
"yellow-rumped warbler",1928-05-10
"yellow warbler",1928-05-10
"american redstart",1928-05-11
"american robin",1928-05-11
"baltimore oriole",1928-05-11
"black and white warbler",1928-05-11
"bonaparte's gull",1928-05-11
"brown thrasher",1928-05-11
"chestnut-sided warbler",1928-05-11
"chipping sparrow",1928-05-11
"common yellow-throat",1928-05-11
"crow",1928-05-11
"eastern towhee",1928-05-11
"grackle",1928-05-11
"gray-cheeked thrush",1928-05-11
"gray catbird",1928-05-11
"hermit thrush",1928-05-11
"herring gull",1928-05-11
"house wren",1928-05-11
"least flycatcher",1928-05-11
"lincoln sparrow",1928-05-11
"magnolia warbler",1928-05-11
"mourning dove",1928-05-11
"nashville warbler",1928-05-11
"northern flicker",1928-05-11
"northern waterthrush",1928-05-11
"orange-crowned warbler",1928-05-11
"oven-bird",1928-05-11
"purple martin",1928-05-11
"red-headed woodpecker",1928-05-11
"red-winged blackbird",1928-05-11
"ruby-crowned kinglet",1928-05-11
"spotted sandpiper",1928-05-11
"swainson's thrush",1928-05-11
"swamp sparrow",1928-05-11
"veery",1928-05-11
"white-crowned sparrow",1928-05-11
"white-throated sparrow",1928-05-11
"yellow-bellied flycatcher",1928-05-11
"yellow-bellied sapsucker",1928-05-11
"yellow warbler",1928-05-11
"american goldfinch",1928-05-12
"american redstart",1928-05-12
"american robin",1928-05-12
"baltimore oriole",1928-05-12
"black and white warbler",1928-05-12
"blue jay",1928-05-12
"bonaparte's gull",1928-05-12
"brown-headed cowbird",1928-05-12
"brown thrasher",1928-05-12
"cape may warbler",1928-05-12
"chestnut-sided warbler",1928-05-12
"chipping sparrow",1928-05-12
"clay-colored sparrow",1928-05-12
"common tern",1928-05-12
"common yellow-throat",1928-05-12
"eastern towhee",1928-05-12
"grackle",1928-05-12
"gray-cheeked thrush",1928-05-12
"herring gull",1928-05-12
"house wren",1928-05-12
"lincoln sparrow",1928-05-12
"magnolia warbler",1928-05-12
"nashville warbler",1928-05-12
"northern flicker",1928-05-12
"northern waterthrush",1928-05-12
"oven-bird",1928-05-12
"palm warbler",1928-05-12
"purple martin",1928-05-12
"red-headed woodpecker",1928-05-12
"red-winged blackbird",1928-05-12
"ruby-crowned kinglet",1928-05-12
"spotted sandpiper",1928-05-12
"swainson's thrush",1928-05-12
"tennessee warbler",1928-05-12
"white-crowned sparrow",1928-05-12
"white-throated sparrow",1928-05-12
"yellow-bellied sapsucker",1928-05-12
"yellow-rumped warbler",1928-05-12
"yellow warbler",1928-05-12
"american goldfinch",1928-05-13
"american redstart",1928-05-13
"american robin",1928-05-13
"baltimore oriole",1928-05-13
"black and white warbler",1928-05-13
"blue jay",1928-05-13
"bonaparte's gull",1928-05-13
"brown-headed cowbird",1928-05-13
"brown creeper",1928-05-13
"brown thrasher",1928-05-13
"common tern",1928-05-13
"eastern kingbird",1928-05-13
"grackle",1928-05-13
"herring gull",1928-05-13
"house wren",1928-05-13
"nashville warbler",1928-05-13
"northern flicker",1928-05-13
"northern waterthrush",1928-05-13
"orange-crowned warbler",1928-05-13
"palm warbler",1928-05-13
"purple martin",1928-05-13
"red-headed woodpecker",1928-05-13
"swainson's thrush",1928-05-13
"white-crowned sparrow",1928-05-13
"white-throated sparrow",1928-05-13
"wood thrush",1928-05-13
"yellow-rumped warbler",1928-05-13
"american goldfinch",1928-05-14
