"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","lowername"
NA,"WOSA",NA,"Wood Sandpiper","Tringa glareola","TRIGLA",NA,"wood sandpiper"
NA,"MASA",NA,"Marsh Sandpiper","Tringa stagnatilis","TRISTA",NA,"marsh sandpiper"
NA,"WIPH",NA,"Wilson's Phalarope","Phalaropus tricolor","PHATRI",NA,"wilsons phalarope"
NA,"RNPH",NA,"Red-necked Phalarope","Phalaropus lobatus","PHALOB",NA,"red necked phalarope"
NA,"REPH",NA,"Red Phalarope","Phalaropus fulicarius","PHAFUL",NA,"red phalarope"
NA,"COPR",NA,"Collared Pratincole","Glareola pratincola","GLAPRA",NA,"collared pratincole"
NA,"ORPR",NA,"Oriental Pratincole","Glareola maldivarum","GLAMAL",NA,"oriental pratincole"
NA,"GRSK",NA,"Great Skua","Stercorarius skua","STESKU",NA,"great skua"
NA,"SPSK",NA,"South Polar Skua","Stercorarius maccormicki","STEMAC",NA,"south polar skua"
NA,"POJA",NA,"Pomarine Jaeger","Stercorarius pomarinus","STEPOM",NA,"pomarine jaeger"
NA,"PAJA",NA,"Parasitic Jaeger","Stercorarius parasiticus","STEPAS","*","parasitic jaeger"
NA,"LTJA",NA,"Long-tailed Jaeger","Stercorarius longicaudus","STELON",NA,"long tailed jaeger"
NA,"DOVE",NA,"Dovekie","Alle alle","ALLALL",NA,"dovekie"
NA,"COMU",NA,"Common Murre","Uria aalge","URIAAL",NA,"common murre"
NA,"TBMU",NA,"Thick-billed Murre","Uria lomvia","URILOM",NA,"thick billed murre"
NA,"RAZO",NA,"Razorbill","Alca torda","ALCTOR",NA,"razorbill"
NA,"GRAU",NA,"Great Auk","Pinguinus impennis","PINIMP",NA,"great auk"
NA,"BLGU",NA,"Black Guillemot","Cepphus grylle","CEPGRY",NA,"black guillemot"
NA,"PIGU",NA,"Pigeon Guillemot","Cepphus columba","CEPCOL",NA,"pigeon guillemot"
NA,"LBMU",NA,"Long-billed Murrelet","Brachyramphus perdix","BRAPER",NA,"long billed murrelet"
NA,"MAMU",NA,"Marbled Murrelet","Brachyramphus marmoratus","BRAMAR",NA,"marbled murrelet"
NA,"KIMU",NA,"Kittlitz's Murrelet","Brachyramphus brevirostris","BRABRE",NA,"kittlitzs murrelet"
NA,"SCMU",NA,"Scripps's Murrelet","Synthliboramphus scrippsi","SYNSCR",NA,"scrippss murrelet"
NA,"GUMU",NA,"Guadalupe Murrelet","Synthliboramphus hypoleucus","SYNHYP",NA,"guadalupe murrelet"
NA,"CRMU",NA,"Craveri's Murrelet","Synthliboramphus craveri","SYNCRA",NA,"craveris murrelet"
NA,"ANMU",NA,"Ancient Murrelet","Synthliboramphus antiquus","SYNANT",NA,"ancient murrelet"
NA,"CAAU",NA,"Cassin's Auklet","Ptychoramphus aleuticus","PTYALE",NA,"cassins auklet"
NA,"PAAU",NA,"Parakeet Auklet","Aethia psittacula","AETPSI",NA,"parakeet auklet"
NA,"LEAU",NA,"Least Auklet","Aethia pusilla","AETPUS",NA,"least auklet"
NA,"WHAU",NA,"Whiskered Auklet","Aethia pygmaea","AETPYG",NA,"whiskered auklet"
NA,"CRAU",NA,"Crested Auklet","Aethia cristatella","AETCRI",NA,"crested auklet"
NA,"RHAU",NA,"Rhinoceros Auklet","Cerorhinca monocerata","CERMON",NA,"rhinoceros auklet"
NA,"ATPU",NA,"Atlantic Puffin","Fratercula arctica","FRAARC",NA,"atlantic puffin"
NA,"HOPU",NA,"Horned Puffin","Fratercula corniculata","FRACOR",NA,"horned puffin"
NA,"TUPU",NA,"Tufted Puffin","Fratercula cirrhata","FRACIR",NA,"tufted puffin"
NA,"STGU",NA,"Swallow-tailed Gull","Creagrus furcatus","CREFUR",NA,"swallow tailed gull"
NA,"BLKI",NA,"Black-legged Kittiwake","Rissa tridactyla","RISTRI",NA,"black legged kittiwake"
NA,"RLKI",NA,"Red-legged Kittiwake","Rissa brevirostris","RISBRE",NA,"red legged kittiwake"
NA,"IVGU",NA,"Ivory Gull","Pagophila eburnea","PAGEBU",NA,"ivory gull"
NA,"SAGU",NA,"Sabine's Gull","Xema sabini","XEMSAB",NA,"sabines gull"
NA,"BOGU",NA,"Bonaparte's Gull","Chroicocephalus philadelphia","CHRPHI",NA,"bonapartes gull"
NA,"GHGU",NA,"Gray-hooded Gull","Chroicocephalus cirrocephalus","CHRCIR",NA,"gray hooded gull"
NA,"BHGU",NA,"Black-headed Gull","Chroicocephalus ridibundus","CHRRID",NA,"black headed gull"
NA,"LIGU",NA,"Little Gull","Hydrocoloeus minutus","HYDMIN",NA,"little gull"
NA,"ROGU",NA,"Ross's Gull","Rhodostethia rosea","RHSROS","*","rosss gull"
NA,"GRGU",NA,"Gray Gull","Leucophaeus modestus","LEUMOD",NA,"gray gull"
NA,"LAGU",NA,"Laughing Gull","Leucophaeus atricilla","LEUATC","*","laughing gull"
NA,"FRGU",NA,"Franklin's Gull","Leucophaeus pipixcan","LEUPIP",NA,"franklins gull"
NA,"BEGU",NA,"Belcher's Gull","Larus belcheri","LARBEL",NA,"belchers gull"
NA,"BTGU",NA,"Black-tailed Gull","Larus crassirostris","LARCRA",NA,"black tailed gull"
NA,"HEEG","*","Heermann's Gull","Larus heermanni","LARHEE",NA,"heermanns gull"
NA,"MEGU",NA,"Mew Gull","Larus canus","LARCAN",NA,"mew gull"
NA,"RBGU",NA,"Ring-billed Gull","Larus delawarensis","LARDEL",NA,"ring billed gull"
NA,"WEGU",NA,"Western Gull","Larus occidentalis","LAROCC",NA,"western gull"
"+","WGWH",NA,"Western X Glaucous-winged Gull Hybrid","Larus occidentalis x glaucescens","LAROCG",NA,"western x glaucous winged gull hybrid"
NA,"YFGU",NA,"Yellow-footed Gull","Larus livens","LARLIV",NA,"yellow footed gull"
NA,"CAGU",NA,"California Gull","Larus californicus","LARCAL",NA,"california gull"
NA,"HERG","*","Herring Gull","Larus argentatus","LARARG",NA,"herring gull"
NA,"YLGU",NA,"Yellow-legged Gull","Larus michahellis","LARMIC",NA,"yellow legged gull"
"+","THGU",NA,"Thayer's Gull","Larus glaucoides thayeri","LARGTH",NA,"thayers gull"
NA,"ICGU",NA,"Iceland Gull","Larus glaucoides","LARGLD","*","iceland gull"
NA,"LBBG",NA,"Lesser Black-backed Gull","Larus fuscus","LARFUS",NA,"lesser black backed gull"
NA,"SBGU",NA,"Slaty-backed Gull","Larus schistisagus","LARSCH",NA,"slaty backed gull"
NA,"GWGU",NA,"Glaucous-winged Gull","Larus glaucescens","LARGLS","*","glaucous winged gull"
NA,"GLGU",NA,"Glaucous Gull","Larus hyperboreus","LARHYP",NA,"glaucous gull"
NA,"GBBG",NA,"Great Black-backed Gull","Larus marinus","LARMAR",NA,"great black backed gull"
NA,"KEGU",NA,"Kelp Gull","Larus dominicanus","LARDOM",NA,"kelp gull"
"+","UNLG",NA,"Unidentified Larus Gull","Larus (sp)","LARSPE",NA,"unidentified larus gull"
NA,"BRNO",NA,"Brown Noddy","Anous stolidus","ANOSTO",NA,"brown noddy"
NA,"BLNO",NA,"Black Noddy","Anous minutus","ANOMIN",NA,"black noddy"
NA,"BGNO",NA,"Blue-gray Noddy","Anous ceruleus","ANOCER",NA,"blue gray noddy"
NA,"WHTT","*","White Tern","Gygis alba","GYGALB",NA,"white tern"
NA,"SOTE",NA,"Sooty Tern","Onychoprion fuscatus","ONYFUS",NA,"sooty tern"
NA,"GBAT","*","Gray-backed Tern","Onychoprion lunatus","ONYLUN",NA,"gray backed tern"
NA,"BRTE",NA,"Bridled Tern","Onychoprion anaethetus","ONYANA",NA,"bridled tern"
NA,"ALTE",NA,"Aleutian Tern","Onychoprion aleuticus","ONYALE",NA,"aleutian tern"
NA,"LITE",NA,"Little Tern","Sternula albifrons","STEALB",NA,"little tern"
NA,"LETE",NA,"Least Tern","Sternula antillarum","STEANT",NA,"least tern"
NA,"YBTE",NA,"Yellow-billed Tern","Sternula superciliaris","STESUP",NA,"yellow billed tern"
NA,"LBTE",NA,"Large-billed Tern","Phaetusa simplex","PHASIM",NA,"large billed tern"
NA,"GBTE",NA,"Gull-billed Tern","Gelochelidon nilotica","GELNIL",NA,"gull billed tern"
NA,"CATE",NA,"Caspian Tern","Hydroprogne caspia","HYDCAS",NA,"caspian tern"
NA,"INTE",NA,"Inca Tern","Larosterna inca","LARINC",NA,"inca tern"
NA,"BLTE",NA,"Black Tern","Chlidonias niger","CHLNIG",NA,"black tern"
NA,"WWTE",NA,"White-winged Tern","Chlidonias leucopterus","CHLLEU",NA,"white winged tern"
NA,"WHST","*","Whiskered Tern","Chlidonias hybrida","CHLHYB",NA,"whiskered tern"
NA,"ROST","*","Roseate Tern","Sterna dougallii","STEDOU",NA,"roseate tern"
NA,"COTE",NA,"Common Tern","Sterna hirundo","STEHIR",NA,"common tern"
NA,"ARTE",NA,"Arctic Tern","Sterna paradisaea","STEPAD","*","arctic tern"
NA,"FOTE",NA,"Forster's Tern","Sterna forsteri","STEFOR",NA,"forsters tern"
NA,"ROYT","*","Royal Tern","Thalasseus maximus","THAMAX",NA,"royal tern"
NA,"GCTE",NA,"Great Crested Tern","Thalasseus bergii","THABER",NA,"great crested tern"
NA,"SATE",NA,"Sandwich Tern","Thalasseus sandvicensis","THASAN",NA,"sandwich tern"
NA,"ELTE",NA,"Elegant Tern","Thalasseus elegans","THAELE",NA,"elegant tern"
NA,"BLSK",NA,"Black Skimmer","Rynchops niger","RYNNIG",NA,"black skimmer"
NA,"SUNB",NA,"Sunbittern","Eurypyga helias","EURHEL",NA,"sunbittern"
NA,"WTTR",NA,"White-tailed Tropicbird","Phaethon lepturus","PHALEP",NA,"white tailed tropicbird"
NA,"RBTR",NA,"Red-billed Tropicbird","Phaethon aethereus","PHAAET",NA,"red billed tropicbird"
NA,"RTTR",NA,"Red-tailed Tropicbird","Phaethon rubricauda","PHARUB",NA,"red tailed tropicbird"
NA,"RTLO",NA,"Red-throated Loon","Gavia stellata","GAVSTE",NA,"red throated loon"
NA,"ARLO",NA,"Arctic Loon","Gavia arctica","GAVARC",NA,"arctic loon"
NA,"PALO",NA,"Pacific Loon","Gavia pacifica","GAVPAC",NA,"pacific loon"
NA,"COLO",NA,"Common Loon","Gavia immer","GAVIMM",NA,"common loon"
NA,"YBLO",NA,"Yellow-billed Loon","Gavia adamsii","GAVADA",NA,"yellow billed loon"
NA,"YNAL",NA,"Yellow-nosed Albatross","Thalassarche chlororhynchos","THACHL",NA,"yellow nosed albatross"
NA,"WCAL",NA,"White-capped Albatross","Thalassarche cauta","THACAU",NA,"white capped albatross"
NA,"CHAL",NA,"Chatham Albatross","Thalassarche eremita","THAERE",NA,"chatham albatross"
NA,"SAAL",NA,"Salvin's Albatross","Thalassarche salvini","THASAL",NA,"salvins albatross"
NA,"BBAL",NA,"Black-browed Albatross","Thalassarche melanophris","THAMEL",NA,"black browed albatross"
NA,"LMAL",NA,"Light-mantled Albatross","Phoebetria palpebrata","PHOPAL",NA,"light mantled albatross"
NA,"WAAL",NA,"Wandering Albatross","Diomedea exulans","DIOEXU",NA,"wandering albatross"
NA,"LAAL",NA,"Laysan Albatross","Phoebastria immutabilis","PHOIMM",NA,"laysan albatross"
"+","LBFH",NA,"Laysan X Black-foot. Albatross Hybrid","Phoebastria immutabils. x nigripes","PHOIMN",NA,"laysan x black foot. albatross hybrid"
NA,"BFAL",NA,"Black-footed Albatross","Phoebastria nigripes","PHONIG",NA,"black footed albatross"
NA,"WAVA","*","Waved Albatross","Phoebastria irrorata","PHOIRR",NA,"waved albatross"
NA,"STAL",NA,"Short-tailed Albatross","Phoebastria albatrus","PHOALB",NA,"short tailed albatross"
NA,"WISP",NA,"Wilson's Storm-Petrel","Oceanites oceanicus","OCEOCE",NA,"wilsons storm petrel"
NA,"WFSP",NA,"White-faced Storm-Petrel","Pelagodroma marina","PELMAR",NA,"white faced storm petrel"
NA,"BBSP",NA,"Black-bellied Storm-Petrel","Fregetta tropica","FRETRO",NA,"black bellied storm petrel"
NA,"EUSP",NA,"European Storm-Petrel","Hydrobates pelagicus","HYDPEL",NA,"european storm petrel"
NA,"FTSP",NA,"Fork-tailed Storm-Petrel","Oceanodroma furcata","OCEFUR",NA,"fork tailed storm petrel"
NA,"RISP",NA,"Ringed Storm-Petrel","Oceanodroma hornbyi","OCEHOR",NA,"ringed storm petrel"
NA,"SSTP","*","Swinhoe's Storm-Petrel","Oceanodroma monorhis","OCEMON",NA,"swinhoes storm petrel"
NA,"LESP",NA,"Leach's Storm-Petrel","Oceanodroma leucorhoa","OCELEU",NA,"leachs storm petrel"
NA,"TOSP",NA,"Townsend's Storm-Petrel","Oceanodroma socorroensis","OCESOC",NA,"townsends storm petrel"
NA,"AISP",NA,"Ainley's Storm-Petrel","Oceanodroma cheimomnestes","OCECHE",NA,"ainleys storm petrel"
NA,"ASSP",NA,"Ashy Storm-Petrel","Oceanodroma homochroa","OCEHOM",NA,"ashy storm petrel"
NA,"BSTP","*","Band-rumped Storm-Petrel","Oceanodroma castro","OCECAS",NA,"band rumped storm petrel"
NA,"WRSP",NA,"Wedge-rumped Storm-Petrel","Oceanodroma tethys","OCETET",NA,"wedge rumped storm petrel"
NA,"BLSP",NA,"Black Storm-Petrel","Oceanodroma melania","OCEMEL",NA,"black storm petrel"
NA,"GUSP",NA,"Guadalupe Storm-Petrel","Oceanodroma macrodactyla","OCEMAC",NA,"guadalupe storm petrel"
NA,"MASP",NA,"Markham's Storm-Petrel","Oceanodroma markhami","OCEMAR",NA,"markhams storm petrel"
NA,"TRSP",NA,"Tristram's Storm-Petrel","Oceanodroma tristrami","OCETRI",NA,"tristrams storm petrel"
NA,"LSTP","*","Least Storm-Petrel","Oceanodroma microsoma","OCEMIC",NA,"least storm petrel"
NA,"NOFU",NA,"Northern Fulmar","Fulmarus glacialis","FULGLA",NA,"northern fulmar"
NA,"GWPE",NA,"Great-winged Petrel","Pterodroma macroptera","PTEMAC",NA,"great winged petrel"
NA,"PRPE",NA,"Providence Petrel","Pterodroma solandri","PTESOL",NA,"providence petrel"
NA,"KEPE",NA,"Kermadec Petrel","Pterodroma neglecta","PTENEG",NA,"kermadec petrel"
NA,"TRPE",NA,"Trindade Petrel","Pterodroma arminjoniana","PTEARM",NA,"trindade petrel"
NA,"HEPE",NA,"Herald Petrel","Pterodroma heraldica","PTEHER",NA,"herald petrel"
NA,"MUPE",NA,"Murphy's Petrel","Pterodroma ultima","PTEULT",NA,"murphys petrel"
NA,"MOPE",NA,"Mottled Petrel","Pterodroma inexpectata","PTEINE",NA,"mottled petrel"
NA,"BEPE",NA,"Bermuda Petrel","Pterodroma cahow","PTECAH",NA,"bermuda petrel"
NA,"BCPE",NA,"Black-capped Petrel","Pterodroma hasitata","PTEHAS",NA,"black capped petrel"
NA,"JFPE",NA,"Juan Fernandez Petrel","Pterodroma externa","PTEEXT",NA,"juan fernandez petrel"
NA,"GAPE",NA,"Galapagos Petrel","Pterodroma phaeopygia","PTEPHA",NA,"galapagos petrel"
NA,"HAPE",NA,"Hawaiian Petrel","Pterodroma sandwichensis","PTESAN",NA,"hawaiian petrel"
NA,"WNPE",NA,"White-necked Petrel","Pterodroma cervicalis","PTECER",NA,"white necked petrel"
NA,"BOPE",NA,"Bonin Petrel","Pterodroma hypoleuca","PTEHYP",NA,"bonin petrel"
NA,"BWPE",NA,"Black-winged Petrel","Pterodroma nigripennis","PTENIG",NA,"black winged petrel"
NA,"FEPE",NA,"Fea's Petrel","Pterodroma feae","PTEFEA",NA,"feas petrel"
NA,"ZIPE",NA,"Zino's Petrel","Pterodroma madeira","PTEMAD",NA,"zinos petrel"
NA,"COPE",NA,"Cook's Petrel","Pterodroma cookii","PTECOO",NA,"cooks petrel"
NA,"STPE",NA,"Stejneger's Petrel","Pterodroma longirostris","PTELON",NA,"stejnegers petrel"
NA,"TAPE",NA,"Tahiti Petrel","Pseudobulweria rostrata","PSEROS",NA,"tahiti petrel"
NA,"BUPE",NA,"Bulwer's Petrel","Bulweria bulwerii","BULBUL",NA,"bulwers petrel"
NA,"JOPE",NA,"Jouanin's Petrel","Bulweria fallax","BULFAL",NA,"jouanins petrel"
NA,"WCPE",NA,"White-chinned Petrel","Procellaria aequinoctialis","PROAEQ",NA,"white chinned petrel"
NA,"PAPE",NA,"Parkinson's Petrel","Procellaria parkinsoni","PROPAR",NA,"parkinsons petrel"
NA,"STSH","*","Streaked Shearwater","Calonectris leucomelas","CALLEU",NA,"streaked shearwater"
NA,"CORS","*","Cory's Shearwater","Calonectris diomedea","CALDIO",NA,"corys shearwater"
NA,"CVSH",NA,"Cape Verde Shearwater","Calonectris edwardsii","CALEDW",NA,"cape verde shearwater"
NA,"WTSH",NA,"Wedge-tailed Shearwater","Ardenna pacifica","ARDPAC",NA,"wedge tailed shearwater"
NA,"BULS","*","Buller's Shearwater","Ardenna bulleri","ARDBUL",NA,"bullers shearwater"
NA,"STTS","*","Short-tailed Shearwater","Ardenna tenuirostris","ARDTEN",NA,"short tailed shearwater"
NA,"SOSH",NA,"Sooty Shearwater","Ardenna grisea","ARDGRI",NA,"sooty shearwater"
NA,"GRSH",NA,"Great Shearwater","Ardenna gravis","ARDGRA",NA,"great shearwater"
NA,"PFSH",NA,"Pink-footed Shearwater","Ardenna creatopus","ARDCRE",NA,"pink footed shearwater"
NA,"FFSH",NA,"Flesh-footed Shearwater","Ardenna carneipes","ARDCAR",NA,"flesh footed shearwater"
NA,"CHSH",NA,"Christmas Shearwater","Puffinus nativitatis","PUFNAT",NA,"christmas shearwater"
NA,"GASH",NA,"Galapagos Shearwater","Puffinus subalaris","PUFSUB",NA,"galapagos shearwater"
NA,"MASH",NA,"Manx Shearwater","Puffinus puffinus","PUFPUF",NA,"manx shearwater"
NA,"TOSH",NA,"Townsend's Shearwater","Puffinus auricularis","PUFAUR",NA,"townsends shearwater"
NA,"NESH",NA,"Newell's Shearwater","Puffinus newelli","PUFNEW",NA,"newells shearwater"
NA,"BRYS","*","Bryan's Shearwater","Puffinus bryani","PUFBRY",NA,"bryans shearwater"
NA,"BVSH",NA,"Black-vented Shearwater","Puffinus opisthomelas","PUFOPI",NA,"black vented shearwater"
NA,"AUSH",NA,"Audubon's Shearwater","Puffinus lherminieri","PUFLHE",NA,"audubons shearwater"
NA,"BASH",NA,"Barolo Shearwater","Puffinus baroli","PUFBAR",NA,"barolo shearwater"
NA,"MAST",NA,"Maguari Stork","Ciconia maguari","JCICMA",NA,"maguari stork"
NA,"JABI",NA,"Jabiru","Jabiru mycteria","JABMYC",NA,"jabiru"
NA,"WOST",NA,"Wood Stork","Mycteria americana","MYCAME",NA,"wood stork"
NA,"MAFR",NA,"Magnificent Frigatebird","Fregata magnificens","FREMAG",NA,"magnificent frigatebird"
NA,"GREF","*","Great Frigatebird","Fregata minor","FREMIN",NA,"great frigatebird"
NA,"LEFR",NA,"Lesser Frigatebird","Fregata ariel","FREARI",NA,"lesser frigatebird"
NA,"MABO",NA,"Masked Booby","Sula dactylatra","SULDAC",NA,"masked booby"
NA,"NABO",NA,"Nazca Booby","Sula granti","SULGRA",NA,"nazca booby"
NA,"BFBO",NA,"Blue-footed Booby","Sula nebouxii","SULNEB",NA,"blue footed booby"
NA,"PEBO",NA,"Peruvian Booby","Sula variegata","SULVAR",NA,"peruvian booby"
NA,"BRBO",NA,"Brown Booby","Sula leucogaster","SULLEU",NA,"brown booby"
NA,"RFBO",NA,"Red-footed Booby","Sula sula","SULSUL",NA,"red footed booby"
NA,"NOGA",NA,"Northern Gannet","Morus bassanus","MORBAS",NA,"northern gannet"
NA,"BRAC","*","Brandt's Cormorant","Phalacrocorax penicillatus","PHAPEN",NA,"brandts cormorant"
NA,"NECO",NA,"Neotropic Cormorant","Phalacrocorax brasilianus","PHABRA",NA,"neotropic cormorant"
NA,"DCCO",NA,"Double-crested Cormorant","Phalacrocorax auritus","PHAAUT","*","double crested cormorant"
NA,"GRCO",NA,"Great Cormorant","Phalacrocorax carbo","PHACAR",NA,"great cormorant"
NA,"RFCO",NA,"Red-faced Cormorant","Phalacrocorax urile","PHAURI",NA,"red faced cormorant"
NA,"PECO",NA,"Pelagic Cormorant","Phalacrocorax pelagicus","PHAPEL",NA,"pelagic cormorant"
NA,"ANHI",NA,"Anhinga","Anhinga anhinga","ANHANH",NA,"anhinga"
NA,"AWPE",NA,"American White Pelican","Pelecanus erythrorhynchos","PELERY",NA,"american white pelican"
NA,"BRPE",NA,"Brown Pelican","Pelecanus occidentalis","PELOCC",NA,"brown pelican"
NA,"PIBI",NA,"Pinnated Bittern","Botaurus pinnatus","BOTPIN",NA,"pinnated bittern"
NA,"AMBI",NA,"American Bittern","Botaurus lentiginosus","BOTLEN",NA,"american bittern"
NA,"YEBI",NA,"Yellow Bittern","Ixobrychus sinensis","IXOSIN",NA,"yellow bittern"
NA,"LEBI",NA,"Least Bittern","Ixobrychus exilis","IXOEXI",NA,"least bittern"
NA,"LIBI",NA,"Little Bittern","Ixobrychus minutus","IXOMIN",NA,"little bittern"
NA,"RTHE",NA,"Rufescent Tiger-Heron","Tigrisoma lineatum","TIGLIN",NA,"rufescent tiger heron"
NA,"FTHE",NA,"Fasciated Tiger-Heron","Tigrisoma fasciatum","TIGFAS",NA,"fasciated tiger heron"
NA,"BTTH",NA,"Bare-throated Tiger-Heron","Tigrisoma mexicanum","TIGMEX",NA,"bare throated tiger heron"
NA,"GBHE",NA,"Great Blue Heron","Ardea herodias","ARDHER",NA,"great blue heron"
"+","GWHE",NA,"Great White Heron","Ardea herodias occidentalis","ARDHOC",NA,"great white heron"
NA,"GRAH","*","Gray Heron","Ardea cinerea","ARDCIN",NA,"gray heron"
NA,"COHE",NA,"Cocoi Heron","Ardea cocoi","ARDCOC",NA,"cocoi heron"
NA,"PUHE",NA,"Purple Heron","Ardea purpurea","ARDPUR",NA,"purple heron"
NA,"GREG",NA,"Great Egret","Ardea alba","ARDALB",NA,"great egret"
NA,"INEG",NA,"Intermediate Egret","Ardea intermedia","ARDINT",NA,"intermediate egret"
NA,"WHHE",NA,"Whistling Heron","Syrigma sibilatrix","SYRSIB",NA,"whistling heron"
NA,"CHEG",NA,"Chinese Egret","Egretta eulophotes","EGREUL",NA,"chinese egret"
NA,"LIEG",NA,"Little Egret","Egretta garzetta","EGRGAR",NA,"little egret"
NA,"WERH",NA,"Western Reef-Heron","Egretta gularis","EGRGUL",NA,"western reef heron"
NA,"SNEG",NA,"Snowy Egret","Egretta thula","EGRTHU",NA,"snowy egret"
NA,"LBHE",NA,"Little Blue Heron","Egretta caerulea","EGRCAE",NA,"little blue heron"
NA,"TRHE",NA,"Tricolored Heron","Egretta tricolor","EGRTRI",NA,"tricolored heron"
NA,"REEG",NA,"Reddish Egret","Egretta rufescens","EGRRUF",NA,"reddish egret"
NA,"CAEG",NA,"Cattle Egret","Bubulcus ibis","BUBIBI",NA,"cattle egret"
NA,"CHPH",NA,"Chinese Pond-Heron","Ardeola bacchus","ARDBAC",NA,"chinese pond heron"
NA,"GRHE",NA,"Green Heron","Butorides virescens","BUTVIR",NA,"green heron"
NA,"STRH","*","Striated Heron","Butorides striata","BUTSTR",NA,"striated heron"
NA,"AGHE",NA,"Agami Heron","Agamia agami","AGAAGA",NA,"agami heron"
NA,"CAHE",NA,"Capped Heron","Pilherodius pileatus","PILPIL",NA,"capped heron"
NA,"BCNH",NA,"Black-crowned Night-Heron","Nycticorax nycticorax","NYCNYC",NA,"black crowned night heron"
NA,"YCNH",NA,"Yellow-crowned Night-Heron","Nyctanassa violacea","NYCVIO",NA,"yellow crowned night heron"
NA,"BBHE",NA,"Boat-billed Heron","Cochlearius cochlearius","COCCOL","*","boat billed heron"
NA,"WHIB",NA,"White Ibis","Eudocimus albus","EUDALB",NA,"white ibis"
NA,"SCIB",NA,"Scarlet Ibis","Eudocimus ruber","EUDRUB",NA,"scarlet ibis"
NA,"GLIB",NA,"Glossy Ibis","Plegadis falcinellus","PLEFAL",NA,"glossy ibis"
NA,"WFIB",NA,"White-faced Ibis","Plegadis chihi","PLECHI",NA,"white faced ibis"
NA,"GRIB",NA,"Green Ibis","Mesembrinibis cayennensis","MESCAY",NA,"green ibis"
NA,"BNIB",NA,"Buff-necked Ibis","Theristicus caudatus","THECAU",NA,"buff necked ibis"
NA,"EURS","*","Eurasian Spoonbill","Platalea leucorodia","PLALEU",NA,"eurasian spoonbill"
NA,"ROSP",NA,"Roseate Spoonbill","Platalea ajaja","PLAAJA",NA,"roseate spoonbill"
NA,"BLVU",NA,"Black Vulture","Coragyps atratus","CORATR",NA,"black vulture"
NA,"TUVU",NA,"Turkey Vulture","Cathartes aura","CAEAUR","*","turkey vulture"
NA,"LYHV",NA,"Lesser Yellow-headed Vulture","Cathartes burrovianus","CATBUR",NA,"lesser yellow headed vulture"
NA,"CACO",NA,"California Condor","Gymnogyps californianus","GYMCAL",NA,"california condor"
NA,"KIVU",NA,"King Vulture","Sarcoramphus papa","SARPAP",NA,"king vulture"
NA,"OSPR",NA,"Osprey","Pandion haliaetus","PANHAL",NA,"osprey"
NA,"PEKI",NA,"Pearl Kite","Gampsonyx swainsonii","GAMSWA",NA,"pearl kite"
NA,"WTKI",NA,"White-tailed Kite","Elanus leucurus","ELALEU",NA,"white tailed kite"
NA,"HBKI",NA,"Hook-billed Kite","Chondrohierax uncinatus","CHOUNC",NA,"hook billed kite"
NA,"GHKI",NA,"Gray-headed Kite","Leptodon cayanensis","LEPCAY",NA,"gray headed kite"
NA,"STKI",NA,"Swallow-tailed Kite","Elanoides forficatus","ELAFOR",NA,"swallow tailed kite"
NA,"CREA",NA,"Crested Eagle","Morphnus guianensis","MORGUI",NA,"crested eagle"
NA,"HAEA",NA,"Harpy Eagle","Harpia harpyja","HARHAR",NA,"harpy eagle"
NA,"GOEA",NA,"Golden Eagle","Aquila chrysaetos","AQUCHR",NA,"golden eagle"
NA,"BLHE",NA,"Black Hawk-Eagle","Spizaetus tyrannus","SPITYR",NA,"black hawk eagle"
NA,"BAWH",NA,"Black-and-white Hawk-Eagle","Spizaetus melanoleucus","SPIMEL",NA,"black and white hawk eagle"
NA,"ORHE",NA,"Ornate Hawk-Eagle","Spizaetus ornatus","SPIORN",NA,"ornate hawk eagle"
NA,"DTKI",NA,"Double-toothed Kite","Harpagus bidentatus","HARBID",NA,"double toothed kite"
NA,"NOHA",NA,"Northern Harrier","Circus hudsonius","CIRHUD",NA,"northern harrier"
NA,"LWHA",NA,"Long-winged Harrier","Circus buffoni","CIRBUF",NA,"long winged harrier"
NA,"WMHA",NA,"Western Marsh Harrier","Circus aeruginosus","CIRAER",NA,"western marsh harrier"
NA,"GBEH","*","Gray-bellied Hawk","Accipiter poliogaster","ACCPOL",NA,"gray bellied hawk"
NA,"CHIS","*","Chinese Sparrowhawk","Accipiter soloensis","ACCSOL",NA,"chinese sparrowhawk"
NA,"TIHA",NA,"Tiny Hawk","Accipiter superciliosus","ACCSUP",NA,"tiny hawk"
NA,"SSHA",NA,"Sharp-shinned Hawk","Accipiter striatus","ACCSTR",NA,"sharp shinned hawk"
NA,"COHA",NA,"Cooper's Hawk","Accipiter cooperii","ACCCOO",NA,"coopers hawk"
NA,"GUHA",NA,"Gundlach's Hawk","Accipiter gundlachi","ACCGUN",NA,"gundlachs hawk"
NA,"BIHA",NA,"Bicolored Hawk","Accipiter bicolor","ACCBIC",NA,"bicolored hawk"
NA,"NOGO",NA,"Northern Goshawk","Accipiter gentilis","ACCGEN",NA,"northern goshawk"
"+","UAHA",NA,"Unidentified Accipiter Hawk","Accipiter (sp)","ACCSPE",NA,"unidentified accipiter hawk"
NA,"BLAK","*","Black Kite","Milvus migrans","MILMIG",NA,"black kite"
NA,"BAEA",NA,"Bald Eagle","Haliaeetus leucocephalus","HALLEU",NA,"bald eagle"
