"","ModernName","Date","Time","Location","n","Observer","Weather","Year"
"235","american crow",2012-05-08,9H 16M 0S,"South of Nature Boardwalk",5,"Marian Vernon","Sunny",2012
"236","american robin",2012-05-08,9H 16M 0S,"South of Nature Boardwalk",3,"Marian Vernon","Sunny",2012
"237","common grackle",2012-05-08,9H 16M 0S,"South of Nature Boardwalk",4,"Marian Vernon","Sunny",2012
"238","european starling",2012-05-08,9H 16M 0S,"South of Nature Boardwalk",60,"Marian Vernon","Sunny",2012
"239","house sparrow",2012-05-08,9H 16M 0S,"South of Nature Boardwalk",8,"Marian Vernon","Sunny",2012
"240","mallard",2012-05-08,9H 16M 0S,"South of Nature Boardwalk",4,"Marian Vernon","Sunny",2012
"241","ring billed gull",2012-05-08,9H 16M 0S,"South of Nature Boardwalk",1,"Marian Vernon","Sunny",2012
"242","rock pigeon",2012-05-08,9H 16M 0S,"South of Nature Boardwalk",34,"Marian Vernon","Sunny",2012
"243","american woodcock",2012-05-08,8H 33M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"244","northern rough winged swallow",2012-05-09,12H 17M 0S,"Canal",1,"Mason Fidino","Overcast",2012
"245","northern flicker",2012-05-09,12H 17M 0S,"Canal",1,"Mason Fidino","Overcast",2012
"246","barn swallow",2012-05-09,12H 17M 0S,"Canal",13,"Mason Fidino","Overcast",2012
"247","red winged blackbird",2012-05-09,12H 17M 0S,"Canal",5,"Mason Fidino","Overcast",2012
"248","yellow rumped warbler",2012-05-09,12H 17M 0S,"Canal",5,"Mason Fidino","Overcast",2012
"249","northern cardinal",2012-05-09,12H 17M 0S,"Canal",1,"Mason Fidino","Overcast",2012
"250","warbling vireo",2012-05-09,12H 17M 0S,"Canal",2,"Mason Fidino","Overcast",2012
"251","house finch",2012-05-09,12H 17M 0S,"Canal",2,"Mason Fidino","Overcast",2012
"252","american tree sparrow",2012-05-09,12H 17M 0S,"Canal",2,"Mason Fidino","Overcast",2012
"253","white crowned sparrow",2012-05-09,12H 17M 0S,"Canal",1,"Mason Fidino","Overcast",2012
"254","palm warbler",2012-05-09,12H 17M 0S,"Canal",1,"Mason Fidino","Overcast",2012
"255","red winged blackbird",2012-05-09,12H 17M 0S,"Canal",1,"Mason Fidino","Overcast",2012
"256","song sparrow",2012-05-09,12H 17M 0S,"Canal",1,"Mason Fidino","Overcast",2012
"257","american crow",2012-05-09,12H 17M 0S,"Canal",1,"Marian Vernon","Overcast",2012
